metric,score
Normalized Exact Match,0.0
Token F1,0.06152503946037912
Fuzzy Match,0.10853789864533903
Corpus BLEU,0.005336014002756113
ROUGE-1,0.06152503946037912
ROUGE-2,0.015142325888290058
ROUGE-L,0.053890473359348275
METEOR,0.08930121859778446
BERTScore Precision,0.5472186803817749
BERTScore Recall,0.6589040160179138
BERTScore F1,0.5965203046798706
Token-limit Outputs,248.0
Finished-with-EOS Outputs,0.0
Truncated Outputs,248.0
Empty Outputs,0.0
Average Prompt Tokens,399.3306451612903
Average Generated Tokens,256.0
Maximum Generated Tokens,256.0
