scope,domain,count,metric,score
overall,all,248,Normalized Exact Match,0.2056451612903226
overall,all,248,Token F1,0.6739168802405322
overall,all,248,Fuzzy Match,0.8777926133484432
overall,all,248,Corpus BLEU,0.4876215374762185
overall,all,248,ROUGE-1 F1,0.6739168802405322
overall,all,248,ROUGE-2 F1,0.5726025202046504
overall,all,248,ROUGE-L F1,0.6434153093501545
overall,all,248,METEOR,0.6540447732726501
overall,all,248,BERT Precision,0.8879290223121643
overall,all,248,BERT Recall,0.8752620816230774
overall,all,248,BERT F1,0.8800450563430786
overall,all,248,Context Hit@5,115.0
overall,all,248,Context Miss@5,133.0
overall,all,248,Context Miss Rate,0.5362903225806451
overall,all,248,Empty Contexts,0.0
overall,all,248,Truncated Outputs,2.0
overall,all,248,No-answer Count,12.0
overall,all,248,No-answer Rate,0.04838709677419355
domain,birth_death,63,Normalized Exact Match,0.047619047619047616
domain,birth_death,63,Token F1,0.5952162920856536
domain,birth_death,63,Fuzzy Match,0.845759185876797
domain,birth_death,63,Corpus BLEU,0.407874773648661
domain,birth_death,63,ROUGE-1 F1,0.5952162920856536
domain,birth_death,63,ROUGE-2 F1,0.4825687091517032
domain,birth_death,63,ROUGE-L F1,0.5486356416305034
domain,birth_death,63,METEOR,0.5391545736305002
domain,birth_death,63,BERT Precision,0.8690182566642761
domain,birth_death,63,BERT Recall,0.8370927572250366
domain,birth_death,63,BERT F1,0.8518334627151489
domain,birth_death,63,Context Hit@5,50.0
domain,birth_death,63,Context Miss@5,13.0
domain,birth_death,63,Context Miss Rate,0.20634920634920634
domain,birth_death,63,Empty Contexts,0.0
domain,birth_death,63,Truncated Outputs,0.0
domain,birth_death,63,No-answer Count,7.0
domain,birth_death,63,No-answer Rate,0.1111111111111111
domain,nid,74,Normalized Exact Match,0.28378378378378377
domain,nid,74,Token F1,0.7601502554641807
domain,nid,74,Fuzzy Match,0.9186873835368524
domain,nid,74,Corpus BLEU,0.5748463307482831
domain,nid,74,ROUGE-1 F1,0.7601502554641807
domain,nid,74,ROUGE-2 F1,0.6754473119733065
domain,nid,74,ROUGE-L F1,0.7392956844583707
domain,nid,74,METEOR,0.7758868203818418
domain,nid,74,BERT Precision,0.9107549786567688
domain,nid,74,BERT Recall,0.9150050282478333
domain,nid,74,BERT F1,0.9117862582206726
domain,nid,74,Context Hit@5,22.0
domain,nid,74,Context Miss@5,52.0
domain,nid,74,Context Miss Rate,0.7027027027027027
domain,nid,74,Empty Contexts,0.0
domain,nid,74,Truncated Outputs,1.0
domain,nid,74,No-answer Count,2.0
domain,nid,74,No-answer Rate,0.02702702702702703
domain,passport,63,Normalized Exact Match,0.20634920634920634
domain,passport,63,Token F1,0.6073825096679295
domain,passport,63,Fuzzy Match,0.8381749490674486
domain,passport,63,Corpus BLEU,0.38292364955453456
domain,passport,63,ROUGE-1 F1,0.6073825096679295
domain,passport,63,ROUGE-2 F1,0.4945310989383572
domain,passport,63,ROUGE-L F1,0.5773244072550717
domain,passport,63,METEOR,0.5645636785499389
domain,passport,63,BERT Precision,0.8686784505844116
domain,passport,63,BERT Recall,0.8472277522087097
domain,passport,63,BERT F1,0.8556553721427917
domain,passport,63,Context Hit@5,0.0
domain,passport,63,Context Miss@5,63.0
domain,passport,63,Context Miss Rate,1.0
domain,passport,63,Empty Contexts,0.0
domain,passport,63,Truncated Outputs,1.0
domain,passport,63,No-answer Count,1.0
domain,passport,63,No-answer Rate,0.015873015873015872
domain,tin,48,Normalized Exact Match,0.2916666666666667
domain,tin,48,Token F1,0.7315946434338935
domain,tin,48,Fuzzy Match,0.9087885672333197
domain,tin,48,Corpus BLEU,0.5511884445420151
domain,tin,48,ROUGE-1 F1,0.7315946434338935
domain,tin,48,ROUGE-2 F1,0.6346882503136415
domain,tin,48,ROUGE-L F1,0.7067423539401592
domain,tin,48,METEOR,0.7344422744998594
domain,tin,48,BERT Precision,0.902825653553009
domain,tin,48,BERT Recall,0.9008843302726746
domain,tin,48,BERT F1,0.9001498222351074
domain,tin,48,Context Hit@5,43.0
domain,tin,48,Context Miss@5,5.0
domain,tin,48,Context Miss Rate,0.10416666666666667
domain,tin,48,Empty Contexts,0.0
domain,tin,48,Truncated Outputs,0.0
domain,tin,48,No-answer Count,2.0
domain,tin,48,No-answer Rate,0.041666666666666664
