scope,domain,count,metric,score
overall,all,248,Normalized Exact Match,0.008064516129032258
overall,all,248,Token F1,0.29443147756133936
overall,all,248,Fuzzy Match,0.590450984299354
overall,all,248,Corpus BLEU,0.11771738525281693
overall,all,248,ROUGE-1 F1,0.29443147756133936
overall,all,248,ROUGE-2 F1,0.15888904602929443
overall,all,248,ROUGE-L F1,0.2577478345883741
overall,all,248,METEOR,0.2584411168239548
overall,all,248,BERT Precision,0.757423996925354
overall,all,248,BERT Recall,0.7397515177726746
overall,all,248,BERT F1,0.7472813725471497
domain,birth_death,63,Normalized Exact Match,0.0
domain,birth_death,63,Token F1,0.3839792356363705
domain,birth_death,63,Fuzzy Match,0.6525391062976664
domain,birth_death,63,Corpus BLEU,0.17344340975717518
domain,birth_death,63,ROUGE-1 F1,0.3839792356363705
domain,birth_death,63,ROUGE-2 F1,0.23396246558624992
domain,birth_death,63,ROUGE-L F1,0.30906218973185695
domain,birth_death,63,METEOR,0.32524865345844217
domain,birth_death,63,BERT Precision,0.7930235862731934
domain,birth_death,63,BERT Recall,0.7628785967826843
domain,birth_death,63,BERT F1,0.7771922945976257
domain,nid,74,Normalized Exact Match,0.013513513513513514
domain,nid,74,Token F1,0.24583838704990918
domain,nid,74,Fuzzy Match,0.543297405738742
domain,nid,74,Corpus BLEU,0.10440856688606592
domain,nid,74,ROUGE-1 F1,0.24583838704990918
domain,nid,74,ROUGE-2 F1,0.1399005530372317
domain,nid,74,ROUGE-L F1,0.2223780259470508
domain,nid,74,METEOR,0.23811992373450797
domain,nid,74,BERT Precision,0.7333813905715942
domain,nid,74,BERT Recall,0.732548177242279
domain,nid,74,BERT F1,0.7319822311401367
domain,passport,63,Normalized Exact Match,0.0
domain,passport,63,Token F1,0.31570081082847434
domain,passport,63,Fuzzy Match,0.627666161042325
domain,passport,63,Corpus BLEU,0.048477680551204785
domain,passport,63,ROUGE-1 F1,0.31570081082847434
domain,passport,63,ROUGE-2 F1,0.13936346607822833
domain,passport,63,ROUGE-L F1,0.292515623950795
domain,passport,63,METEOR,0.25411085598681604
domain,passport,63,BERT Precision,0.7668178677558899
domain,passport,63,BERT Recall,0.7411579489707947
domain,passport,63,BERT F1,0.7518563866615295
domain,tin,48,Normalized Exact Match,0.020833333333333332
domain,tin,48,Token F1,0.22389839304653444
domain,tin,48,Fuzzy Match,0.5328105049823635
domain,tin,48,Corpus BLEU,0.09700283760089254
domain,tin,48,ROUGE-1 F1,0.22389839304653444
domain,tin,48,ROUGE-2 F1,0.11525643324266126
domain,tin,48,ROUGE-L F1,0.19929347491308205
domain,tin,48,METEOR,0.20776819835283222
domain,tin,48,BERT Precision,0.7354359030723572
domain,tin,48,BERT Recall,0.7186563611030579
domain,tin,48,BERT F1,0.7256044745445251
